Month,Year,Average Temperature,Historical Average,Max Temperature,Min Temperature,Historical Max,Historical Min
January,1993,25.45,25.74,30.07,21.10,31.68,19.90
February,1993,26.03,26.55,29.98,21.89,32.40,20.83
March,1993,26.88,26.82,32.96,20.85,32.89,20.93
April,1993,26.38,26.07,32.61,21.29,31.79,20.51
May,1993,25.84,25.36,31.74,20.71,31.07,19.80
June,1993,24.55,24.35,30.35,19.20,30.37,18.57
July,1993,23.42,23.57,29.45,17.90,29.32,17.88
August,1993,24.00,23.84,29.98,18.37,29.50,18.12
September,1993,24.81,24.82,30.92,18.83,30.77,18.93
October,1993,25.78,25.42,31.93,20.08,31.12,19.75
November,1993,25.70,24.98,31.91,20.06,30.63,19.29
December,1993,25.64,25.01,31.98,19.81,31.00,19.13
January,1994,26.88,25.74,33.34,20.66,31.68,19.90
February,1994,27.63,26.55,34.02,21.49,32.40,20.83
March,1994,27.81,26.82,34.21,21.87,32.89,20.93
April,1994,27.04,26.07,33.42,21.34,31.79,20.51
May,1994,25.94,25.36,31.87,20.59,31.07,19.80
June,1994,24.90,24.35,31.15,19.10,30.37,18.57
July,1994,24.21,23.57,30.32,18.44,29.32,17.88
August,1994,24.30,23.84,29.68,18.93,29.50,18.12
September,1994,25.28,24.82,31.19,19.59,30.77,18.93
October,1994,26.00,25.42,31.81,20.44,31.12,19.75
November,1994,24.82,24.98,30.08,19.85,30.63,19.29
December,1994,24.96,25.01,30.76,19.37,31.00,19.13
January,1995,26.21,25.74,32.20,20.29,31.68,19.90
February,1995,27.06,26.55,32.90,21.49,32.40,20.83
March,1995,26.80,26.82,32.59,21.50,32.89,20.93
April,1995,26.61,26.07,32.72,21.26,31.79,20.51
May,1995,25.85,25.36,31.77,20.52,31.07,19.80
June,1995,24.93,24.35,31.04,19.26,30.37,18.57
July,1995,24.27,23.57,30.60,18.69,29.32,17.88
August,1995,24.33,23.84,30.23,18.70,29.50,18.12
September,1995,25.34,24.82,31.26,19.77,30.77,18.93
October,1995,25.92,25.42,31.73,20.38,31.12,19.75
November,1995,25.53,24.98,31.48,19.89,30.63,19.29
December,1995,25.49,25.01,31.51,19.86,31.00,19.13
January,1996,26.40,25.74,32.18,21.10,31.68,19.90
February,1996,27.35,26.55,32.93,22.06,32.40,20.83
March,1996,27.10,26.82,32.74,22.21,32.89,20.93
April,1996,26.80,26.07,32.89,21.42,31.79,20.51
May,1996,26.17,25.36,32.16,20.85,31.07,19.80
June,1996,24.48,24.35,29.69,19.74,30.37,18.57
July,1996,23.32,23.57,29.25,18.61,29.32,17.88
August,1996,24.12,23.84,30.16,18.79,29.50,18.12
September,1996,25.25,24.82,31.14,19.69,30.77,18.93
October,1996,25.51,25.42,31.46,20.14,31.12,19.75
November,1996,25.38,24.98,31.48,20.20,30.63,19.29
December,1996,25.59,25.01,31.95,19.30,31.00,19.13
January,1997,26.49,25.74,32.20,20.80,31.68,19.90
February,1997,27.42,26.55,33.82,21.09,32.40,20.83
March,1997,27.82,26.82,33.91,21.80,32.89,20.93
April,1997,25.95,26.07,31.40,21.07,31.79,20.51
May,1997,25.29,25.36,31.15,19.82,31.07,19.80
June,1997,25.23,24.35,31.12,19.76,30.37,18.57
July,1997,24.26,23.57,30.34,18.91,29.32,17.88
August,1997,24.90,23.84,31.16,19.07,29.50,18.12
September,1997,25.96,24.82,32.17,20.09,30.77,18.93
October,1997,25.26,25.42,30.11,20.68,31.12,19.75
November,1997,24.92,24.98,29.78,20.48,30.63,19.29
December,1997,25.17,25.01,29.98,20.67,31.00,19.13
January,1998,25.57,25.74,29.23,22.02,31.68,19.90
February,1998,26.82,26.55,31.82,22.42,32.40,20.83
March,1998,27.24,26.82,32.57,22.08,32.89,20.93
April,1998,27.21,26.07,32.99,21.95,31.79,20.51
May,1998,26.06,25.36,31.65,21.13,31.07,19.80
June,1998,24.83,24.35,30.60,19.66,30.37,18.57
July,1998,23.41,23.57,29.10,18.69,29.32,17.88
August,1998,23.64,23.84,28.94,19.07,29.50,18.12
September,1998,24.77,24.82,30.78,19.70,30.77,18.93
October,1998,26.03,25.42,32.09,20.18,31.12,19.75
November,1998,25.09,24.98,31.00,19.46,30.63,19.29
December,1998,25.56,25.01,32.18,19.14,31.00,19.13
January,1999,26.51,25.74,32.75,20.70,31.68,19.90
February,1999,27.37,26.55,33.76,21.11,32.40,20.83
March,1999,26.64,26.82,33.04,22.08,32.89,20.93
April,1999,26.47,26.07,32.83,20.72,31.79,20.51
May,1999,25.18,25.36,31.77,19.97,31.07,19.80
June,1999,24.78,24.35,30.80,18.74,30.37,18.57
July,1999,23.62,23.57,29.55,18.38,29.32,17.88
August,1999,23.77,23.84,29.66,18.77,29.50,18.12
September,1999,24.96,24.82,30.65,19.56,30.77,18.93
October,1999,25.17,25.42,31.62,20.11,31.12,19.75
November,1999,25.16,24.98,30.66,20.03,30.63,19.29
December,1999,24.84,25.01,29.89,19.76,31.00,19.13
January,2000,26.11,25.74,31.65,20.23,31.68,19.90
February,2000,27.27,26.55,33.75,20.69,32.40,20.83
March,2000,27.68,26.82,34.31,21.49,32.89,20.93
April,2000,27.32,26.07,33.50,21.37,31.79,20.51
May,2000,26.30,25.36,32.80,20.22,31.07,19.80
June,2000,24.92,24.35,31.04,19.12,30.37,18.57
July,2000,24.13,23.57,30.21,18.61,29.32,17.88
August,2000,24.51,23.84,30.47,18.81,29.50,18.12
September,2000,25.19,24.82,31.21,19.58,30.77,18.93
October,2000,26.40,25.42,32.39,20.75,31.12,19.75
November,2000,26.23,24.98,32.02,20.90,30.63,19.29
December,2000,26.54,25.01,32.75,20.19,31.00,19.13
January,2001,26.68,25.74,31.90,21.82,31.68,19.90
February,2001,27.21,26.55,32.61,21.67,32.40,20.83
March,2001,27.59,26.82,33.84,21.91,32.89,20.93
April,2001,26.50,26.07,32.10,21.12,31.79,20.51
May,2001,26.42,25.36,32.38,20.81,31.07,19.80
June,2001,24.73,24.35,30.60,19.16,30.37,18.57
July,2001,23.77,23.57,29.86,18.21,29.32,17.88
